0.03	0.00
0.04	0.00
0.05	0.00
0.07	0.00
0.08	0.00
0.09	0.00
0.10	0.00
0.11	0.00
0.12	0.00
0.13	0.00
0.14	0.00
0.15	0.00
0.17	0.00
0.18	0.00
0.19	0.00
0.20	0.00
0.21	0.00
0.22	0.00
0.23	0.00
0.24	0.00
0.25	0.00
0.26	0.00
0.27	0.00
0.29	0.00
0.30	0.00
0.31	0.00
0.32	0.00
0.33	0.00
0.34	0.00
0.35	0.00
0.36	0.00
0.37	0.00
0.39	0.00
0.40	0.00
0.41	0.00
0.42	0.00
0.43	0.00
0.44	0.00
0.45	0.00
0.46	0.00
0.47	0.00
0.49	0.00
0.50	0.00
0.51	0.00
0.52	0.00
0.53	0.00
0.54	0.00
0.55	0.00
0.56	0.00
0.57	0.00
0.58	0.00
0.60	0.00
0.61	0.00
0.62	0.00
0.63	0.00
0.64	0.00
0.65	0.00
0.66	0.00
0.67	0.00
0.68	0.00
0.70	0.00
0.71	0.00
0.72	0.00
0.73	0.00
0.74	0.00
0.75	0.00
0.76	0.00
0.77	0.00
0.78	0.00
0.79	0.00
0.81	0.00
0.82	0.00
0.83	0.00
0.84	0.00
0.85	0.00
0.86	0.00
0.87	0.00
0.88	0.00
0.89	0.00
0.90	0.00
0.91	0.00
0.93	0.00
0.94	0.00
0.95	0.00
0.96	0.00
0.97	0.00
0.98	0.00
0.99	0.00
1.00	0.00
1.01	-0.71
1.03	-1.25
1.04	-1.61
1.05	-2.14
1.06	-2.50
1.07	-2.68
1.08	-3.21
1.09	-3.39
1.10	-3.75
1.11	-3.57
1.12	-4.11
1.14	-4.28
1.15	-4.28
1.16	-4.11
1.17	-4.64
1.18	-4.64
1.19	-4.82
1.20	-4.46
1.21	-4.82
1.22	-5.00
1.24	-5.00
1.25	-4.64
1.26	-5.00
1.27	-5.18
1.28	-4.91
1.29	-5.18
1.30	-5.18
1.31	-5.35
1.32	-4.82
1.34	-5.18
1.35	-5.35
1.36	-5.18
1.37	-4.82
1.38	-5.35
1.39	-5.35
1.40	-5.53
1.41	-4.82
1.42	-5.35
1.43	-5.35
1.45	-5.18
1.46	-4.82
1.47	-5.35
1.48	-5.35
1.49	-5.18
1.50	-4.82
1.51	-5.35
1.52	-5.35
1.53	-5.18
1.54	-4.82
1.55	-5.35
1.57	-5.35
1.58	-5.18
1.59	-5.00
1.60	-5.35
1.61	-5.35
1.62	-4.91
1.63	-5.18
1.64	-5.35
1.65	-5.35
1.67	-4.82
1.68	-5.18
1.69	-5.35
1.70	-5.18
1.71	-4.82
1.72	-5.18
1.73	-5.35
1.74	-5.18
1.75	-4.82
1.76	-5.18
1.78	-5.18
1.79	-5.18
1.80	-4.82
1.81	-5.18
1.82	-5.18
1.83	-5.35
1.84	-4.64
1.85	-5.35
1.86	-5.18
1.88	-5.35
1.89	-4.82
1.90	-5.18
1.91	-5.35
1.92	-4.75
1.93	-5.35
1.94	-5.35
1.95	-5.18
1.96	-4.82
1.98	-5.18
